,scraped_city,facility,operator,street,zip_code,city_in_desc,avg_home_price_usd,avg_electricity_cost_usd_per_kwh,avg_water_cost_usd_monthly,facility_count,avg_electricity_cost_usd_per_kwh_score,avg_home_price_usd_score,avg_water_cost_usd_monthly_score,avg_electricity_cost_usd_per_kwh_z_score,avg_home_price_usd_z_score,avg_water_cost_usd_monthly_z_score,index_score
10,New York,325 Hudson,325 Hudson,325 Hudson,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
11,New York,TELEHOUSE New York Chelsea,Telehouse America,85 10th Avenue,10011,New York,922000,0.27,100.4,12,8,8,9,1.559886815,1.4702371109260424,1.9970434636816543,9.25
12,New York,1 Ramland,1547 Critical Systems Realty,1 Ramland Rd,10962,Orangeburg,1043000,0.254,98.3,8,8,8,8,1.3022156662654638,1.917781640033342,1.8456062287208126,8
13,New York,TELEHOUSE New York Teleport,Telehouse America,7 Teleport Drive,10311,New York,1051000,0.259,89.8,3,8,8,8,1.3827379001212377,1.9473713609660561,1.2326459919745512,6.75
14,New York,NYI - New York,QTD Systems,100 William Street,10038,New York,1038000,0.254,96.1,3,8,8,8,1.3022156662654638,1.899288064450396,1.686957696857074,6.75
15,New York,Hudson InterXchange,Hudson InterXchange,60 Hudson Street,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
16,New York,365 Data Centers - New York 2,365 Data Centers,325 Hudson St,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
17,New York,DataBank LGA2 - Downtown New York City,DataBank,111 8th Ave,10011,Manhattan,922000,0.27,100.4,12,8,8,9,1.559886815,1.4702371109260424,1.9970434636816543,9.25
18,New York,Crown Castle New York (NY1),CROWN CASTLE,111 8th Ave,10011,New York City,922000,0.27,100.4,12,8,8,9,1.559886815,1.4702371109260424,1.9970434636816543,9.25
19,New York,Delimiter Commack Data Center,Delimiter Corp,500 Commack Road,NY11725,Commack,1255000,0.265,104.3,1,8,9,9,1.4793645807481661,2.701909244750264,2.278284042894644,6.75
20,New York,Cogent Data Center - New York,"Cogent Communications, Inc.",25 Broadway,10004,New York,1044000,0.251,90.9,4,8,8,8,1.2539023259519995,1.9214803551499313,1.311970257906421,7
21,New York,CoreSite Secaucus (NY2),CoreSite,2 Emerson Ln,07094,Secaucus,1276000,0.249,99,2,8,9,9,1.221693432,2.7795822621986384,1.8960853070410932,7
22,New York,H5 Data Centers New York,H5 Data Centers,325 Hudson St,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
23,New York,Equinix NY9,Equinix,111 8th Avenue,10011,New York,922000,0.27,100.4,12,8,8,9,1.559886815,1.4702371109260424,1.9970434636816543,9.25
24,New York,CoreSite New York (NY1),CoreSite,32 Avenue of the Americas,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
25,New York,DataBank Orangeburg Campus,DataBank,2000 Corporate Dr,10962,Orangeburg,1043000,0.254,98.3,8,8,8,8,1.3022156662654638,1.917781640033342,1.8456062287208126,8
26,New York,Epsilon Global Hubs - New York,Epsilon,60 Hudson Street,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
27,New York,Dataverge NY,DataVerge,882 3rd Ave,11232,Brooklyn,1018000,0.251,133.4,1,8,8,9,1.2539023259519995,1.8253137621186108,4.376771441637728,6.5
28,New York,111 Eight Avenue,Google,111 8th Avenue,10011,New York,922000,0.27,100.4,12,8,8,9,1.559886815,1.4702371109260424,1.9970434636816543,9.25
29,New York,Speedcast NY,Speedcast International Ltd.,45 Oser Avenue,11788,Hauppauge,1037000,0.256,108.4,1,8,8,9,1.3344245598077733,1.8955893493338067,2.573947216,6.5
30,New York,365 Data Centers - New York 3,365 Data Centers,121 Varick St.,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
31,New York,Lunavi Orangeburg,Lunavi,1 Ramland Rd,10962,Orangeburg,1043000,0.254,98.3,8,8,8,8,1.3022156662654638,1.917781640033342,1.8456062287208126,8
32,New York,ColoHouse New York,ColoHouse,1 Ramland Road,10962,Orangeburg,1043000,0.254,98.3,8,8,8,8,1.3022156662654638,1.917781640033342,1.8456062287208126,8
33,New York,NewBridge Brooklyn,NewBridge,927 McDonald Ave,11218,Brooklyn,1101000,0.254,89.1,1,8,9,8,1.3022156662654638,2.132307116795519,1.1821669136542705,6.5
34,New York,DataBank LGA3 - Orangeburg,DataBank,2000 Corporate Dr,10962,Orangeburg,1043000,0.254,98.3,8,8,8,8,1.3022156662654638,1.917781640033342,1.8456062287208126,8
35,New York,DataBank LGA4 - Orangeburg,DataBank,2000 Corporate Dr,10962,Orangeburg,1043000,0.254,98.3,8,8,8,8,1.3022156662654638,1.917781640033342,1.8456062287208126,8
36,New York,75 Broad Street,JEMB Realty Inc.,75 Broad Street,10004,New York,1044000,0.251,90.9,4,8,8,8,1.2539023259519995,1.9214803551499313,1.311970257906421,7
37,New York,Evocative JFK2,Evocative Data Centers,480 N Bedford Rd,10514,Chappaqua,968000,0.235,88.8,1,8,8,8,0.9962311776135234,1.6403780062891482,1.1605330229455793,6.25
38,New York,365 Data Centers - New York 1,365 Data Centers,65 Broadway,10006,New York,979000,0.249,89.1,1,8,8,8,1.221693432,1.6810638725716298,1.1821669136542705,6.25
39,New York,Cogent Data Center - Hackensack,"Cogent Communications, Inc.",280 State St,07601,Hackensack,1060000,0.251,87.1,1,8,8,8,1.2539023259519995,1.9806597970153594,1.0379409755963267,6.25
40,New York,Lumen New York 2,Lumen,601 W 26th,10001,New York,1082000,0.262,97.1,2,8,9,8,1.4310512404347018,2.062031529580323,1.759070665886046,6.75
41,New York,60 Hudson Street,Colliers International,60 Hudson Street,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
42,New York,121 Varick St,121 Varick Street Corp.,121 Varick St,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
43,New York,Sentinel NY-1,Sentinel Datacenters,155 Corporate Dr,10962,Orangeburg,1043000,0.254,98.3,8,8,8,8,1.3022156662654638,1.917781640033342,1.8456062287208126,8
44,New York,Metanet Staten Island,"Metanet, Inc.",7 Teleport Dr,10311,Staten Island,1051000,0.259,89.8,3,8,8,8,1.3827379001212377,1.9473713609660561,1.2326459919745512,6.75
45,New York,Colocation America NYDC3,Colocation America,11 Skyline Dr,10532,Hawthorne,1260000,0.266,96.6,1,8,9,8,1.495469027519321,2.7204028203332102,1.723014181,6.5
46,New York,365 Data Centers - New York 4,365 Data Centers,32 6th ave,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
47,New York,CherryRoad NYC3,CherryRoad Technologies,375 Pearl Street,10038,Manhattan,1038000,0.254,96.1,3,8,8,8,1.3022156662654638,1.899288064450396,1.686957696857074,6.75
48,New York,Blue Hill Plaza,Blue Hill Data Services,2 Blue Hill Plaza,10965,Pearl River,1280000,0.265,98.2,1,8,9,8,1.4793645807481661,2.7943771226649954,1.8383949318179158,6.5
49,New York,Centersquare - New York EWR3-B,Csquare,365 S Randolphville,08854,Piscataway,1124000,0.28,116.6,1,8,9,9,1.7209312823154874,2.2173775644770717,3.1652735619509986,6.75
50,New York,Metanet Chelsea,"Metanet, Inc.",85 10th Ave,10011,New York,922000,0.27,100.4,12,8,8,9,1.559886815,1.4702371109260424,1.9970434636816543,9.25
51,New York,Arbinet 75 Broad St,Arbinet,75 Broad St.,10004,New York,1044000,0.251,90.9,4,8,8,8,1.2539023259519995,1.9214803551499313,1.311970257906421,7
52,New York,Frontline Data Services Orangeburg,Frontline Data Services,100 Dutch Hill Rd,10962,Orangeburg,1043000,0.254,98.3,8,8,8,8,1.3022156662654638,1.917781640033342,1.8456062287208126,8
53,New York,The Starrett-Lehigh Building,Windstream,601 W 26th Street,10001,New York,1082000,0.262,97.1,2,8,9,8,1.4310512404347018,2.062031529580323,1.759070665886046,6.75
54,New York,365 Data Centers - Long Island,365 Data Centers,500 Commack Road,j11725,Commack,1255000,0.265,104.3,1,8,9,9,1.4793645807481661,2.701909244750264,2.278284042894644,6.75
55,New York,Colocation America NYDC1,Colocation America,60 Hudson Street,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
56,New York,EXA DC New York,EXA Infrastructure,60 Hudson Street,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
57,New York,Colocation America NYDC2,Colocation America,111 8th Avenue,10011,New York,922000,0.27,100.4,12,8,8,9,1.559886815,1.4702371109260424,1.9970434636816543,9.25
58,New York,Crown Castle New York - 60 Hudson St,CROWN CASTLE,60 Hudson St,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
59,New York,Lumen New York 1,Lumen,111 8th Avenue,10011,New York,922000,0.27,100.4,12,8,8,9,1.559886815,1.4702371109260424,1.9970434636816543,9.25
60,New York,TeliaSonera NYKEC,Telia Company,111 8th Avenue,10011,New York,922000,0.27,100.4,12,8,8,9,1.559886815,1.4702371109260424,1.9970434636816543,9.25
61,New York,32 Avenue of the Americas,Rudin Management Company,32 Avenue of the Americas (6th Ave),10019,New York,964000,0.259,98.2,2,8,8,8,1.3827379001212377,1.6255831458227912,1.8383949318179158,6.5
62,New York,AT&T New York,AT&T,811 10th Avenue,10019,New York,964000,0.259,98.2,2,8,8,8,1.3827379001212377,1.6255831458227912,1.8383949318179158,6.5
63,New York,AT&T Secaucus,AT&T,15 Enterprise Ave N,07094,Secaucus,1276000,0.249,99,2,8,9,9,1.221693432,2.7795822621986384,1.8960853070410932,7
64,New York,NaviSite New York,"NaviSite, Inc.",395 Hudson St,10014,New York,1167000,0.265,75.6,1,8,9,6,1.4793645807481661,2.3764223144904095,0.2086418317631495,6
65,New York,New York Connect Data Center,"New York Connect.Net, Ltd.",111 8th Avenue,10011,New York,922000,0.27,100.4,12,8,8,9,1.559886815,1.4702371109260424,1.9970434636816543,9.25
66,New York,LG Networks NYC Node,Lumen,150 Varick Street,10012,New York,870000,0.24,96.8,1,8,8,8,1.0767534114692972,1.2779039248634012,1.7374367751773547,6.25
67,New York,TELEHOUSE Briad Financial Center,Telehouse America,33 Whitehall Street,10004,New York,1044000,0.251,90.9,4,8,8,8,1.2539023259519995,1.9214803551499313,1.311970257906421,7
68,New York,Tata Communications New York,Tata Communications,32 6th Ave,10013,New York,1150000,0.287,105.6,18,8,9,9,1.8336624097135699,2.3135441575083924,2.3720309026323076,11
69,New York,Metanet New York,"Metanet, Inc.",111 8th Avenue,10011,New York,922000,0.27,100.4,12,8,8,9,1.559886815,1.4702371109260424,1.9970434636816543,9.25
70,Los Angeles,600 West 7th Street (LAX10),Digital Realty,600 West 7th Street,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
71,Los Angeles,2260 E El Segundo Blvd (LAX12),Digital Realty,2260 East El Segundo Boulevard,90245,El Segundo,907000,0.331,76.2,4,9,8,6,2.5422580676443793,1.4147563841772037,0.2519096131805333,6.75
72,Los Angeles,Hivelocity - Los Angeles 2,Hivelocity,600 W. 7th St,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
73,Los Angeles,Hivelocity - Los Angeles 1,Hivelocity,624 S Grand Ave,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
74,Los Angeles,4400 Pacific Blvd,Digital Realty,4400 Pacific Blvd,90058,Vernon,994000,0.317,95.4,4,9,8,8,2.3167958128482127,1.7365445993204687,1.6364786185367945,7.25
75,Los Angeles,Serverfarm Los Angeles Data Center LAX1,Serverfarm,444 North Nash Street,90245,El Segundo,907000,0.331,76.2,4,9,8,6,2.5422580676443793,1.4147563841772037,0.2519096131805333,6.75
76,Los Angeles,Centersquare - Los Angeles LAX5-A,Csquare,2681 Kelvin Ave,92614,Irvine,908000,0.329,84.4,1,9,8,8,2.5100491741020696,1.418455099293793,0.8432359592181033,6.5
77,Los Angeles,Prime Los Angeles,Prime Data Centers,4701 S Santa Fe Ave,90058,Vernon,994000,0.317,95.4,4,9,8,8,2.3167958128482127,1.7365445993204687,1.6364786185367945,7.25
78,Los Angeles,Colocation America LADC3,Colocation America,600 W. 7th St,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
79,Los Angeles,West 7 Center,Rising Realty Partners,1200 West 7th Street,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
80,Los Angeles,One Wilshire,GI Property Management,624 South Grand Avenue,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
81,Los Angeles,Equinix LA2,Equinix,818 W 7th Street,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
82,Los Angeles,Cogent Data Center - Los Angeles,"Cogent Communications, Inc.",530 W 6th St,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
83,Los Angeles,Cogent Data Center - Pasadena,"Cogent Communications, Inc.",2947  Bradley Street,91107,Pasadena,963000,0.329,89,1,9,8,8,2.5100491741020696,1.621884430706202,1.1749556167513737,6.5
84,Los Angeles,DataBank LAX1 - Los Angeles One Wilshire,DataBank,624 South Grand Avenue,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
85,Los Angeles,Colocation America LADC4,Colocation America,530 W. 6th St,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
86,Los Angeles,Converge Technology Solutions Data Center,Converge Technology Solutions,30077 Agoura Ct,91301,Agoura Hills,974000,0.323,85.1,1,9,8,8,2.4134224934751414,1.6625702969886837,0.8937150375383829,6.5
87,Los Angeles,Colocation America LADC5,Colocation America,650 S. Grand Ave,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
88,Los Angeles,Colocation America LADC2,Colocation America,707 Wilshire Blvd,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
89,Los Angeles,Alchemy Downtown Data Center,"Dynascale, Inc.",1200 West 7th Street,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
90,Los Angeles,Crown Castle Los Angeles LA1,CROWN CASTLE,624 S Grand Ave,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
91,Los Angeles,Equinix LA7,Equinix,1501 Francisco Street,90501,Torrance,940000,0.317,96.3,1,9,8,8,2.3167958128482127,1.536813983024649,1.7013802906628688,6.5
92,Los Angeles,Equinix LA3,Equinix,1920 E Maple Ave,90245,El Segundo,907000,0.331,76.2,4,9,8,6,2.5422580676443793,1.4147563841772037,0.2519096131805333,6.75
93,Los Angeles,Psychz Los Angeles,Psychz Networks,700 Wilshire Blvd,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
94,Los Angeles,Evocative LAX14,Evocative Data Centers,3690 Redondo Beach Avenue,90278,Redondo Beach,960000,0.306,75.3,1,9,8,6,2.1396468983655104,1.6107882853564341,0.18700794105445812,6
95,Los Angeles,UnitedLayer Los Angeles,"UnitedLayer, Inc.",624 S Grand Ave,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
96,Los Angeles,ColoCrossing LA1,ColoCrossing,1200 W 7th Street,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
97,Los Angeles,CoreSite One Wilshire (LA1),CoreSite,624 South Grand Avenue,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
98,Los Angeles,Crown Castle Los Angeles LA2,CROWN CASTLE,609 W 7th St,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
99,Los Angeles,Cogent Data Center - La Mirada,"Cogent Communications, Inc.",16680 Valley View Avenue,90638,La Mirada,1042000,0.317,87.3,1,9,8,8,2.3167958128482127,1.9140829249167528,1.0523635694021214,6.5
100,Los Angeles,Equinix LA1,Equinix,600 West 7th Street,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
101,Los Angeles,CoreSite Los Angeles (LA2),CoreSite,900 North Alameda,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
102,Los Angeles,Xfernet Data Center,Xfernet,3250 Wilshire Blvd,90010,Koreatown,1098000,0.281,65.4,1,8,9,3,1.7370357290866423,2.121210971445751,-0.526910452,5.25
103,Los Angeles,One Data Center Ontario,One Data Center America,350 S Milliken Ave,91761,Ontario,1041000,0.32,83.7,2,9,8,8,2.365109153161677,1.9103842098001635,0.7927568808978228,6.75
104,Los Angeles,Evocative LAX2,Evocative Data Centers,600 W 7th Street,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
105,Los Angeles,DigiCo Los Angeles LAX1,DigiCo Infrastructure REIT,1977 Saturn St,91755,Monterey Park,1177000,0.325,86.1,2,9,9,8,2.4456313870174506,2.413409465656302,0.9658280065673548,7
106,Los Angeles,Subrigo - 650 South Grand,Subrigo,650 South Grand Avenue,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
107,Los Angeles,Cogent Data Center - Burbank,"Cogent Communications, Inc.",100 S Flower St,91502,Burbank,1154000,0.324,98.7,1,9,9,9,2.429526940246296,2.3283390179747494,1.8744514163324018,7
108,Los Angeles,Aon Center,Shorenstein,707 Wilshire Boulevard,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
109,Los Angeles,TELEHOUSE Los Angeles Center,Telehouse America,626 Wilshire Boulevard,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
110,Los Angeles,QuadraNet Los Angeles,QuadraNet.com,530 W. 6th St.,90014,Los Angeles,1009000,0.321,78.8,3,9,8,7,2.3812135999328317,1.7920253260693075,0.4394033326558599,6.75
111,Los Angeles,Goodman LAX01,Goodman,3094 E Vernon Ave,90058,Vernon,994000,0.317,95.4,4,9,8,8,2.3167958128482127,1.7365445993204687,1.6364786185367945,7.25
112,Los Angeles,Centersquare - Los Angeles LAX2,Csquare,3015 Winona Avenue,91504,Burbank,1133000,0.316,84.8,1,9,9,8,2.300691366077058,2.250666000526375,0.8720811468296915,6.75
113,Los Angeles,Colocation America LADC1,Colocation America,624 South Grand Avenue,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
114,Los Angeles,CoreSite Los Angeles (LA3),CoreSite,260 Bauchet St.,90012,Los Angeles,976000,0.313,76.2,3,9,8,6,2.2523780257635937,1.669967727221862,0.2519096131805333,6.5
115,Los Angeles,365 Data Centers - Los Angeles 1,365 Data Centers,600 W 7th St.,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
116,Los Angeles,Vernon Data Center,"Downtown Properties Holdings, LLC",5001 S. Soto Street,90058,Vernon,994000,0.317,95.4,4,9,8,8,2.3167958128482127,1.7365445993204687,1.6364786185367945,7.25
117,Los Angeles,Fireline Broadband Data Center,Fireline Broadband,5900 Wilshire Blvd,90036,Los Angeles,1211000,0.325,82.3,1,9,9,8,2.4456313870174506,2.539165779620337,0.6917987242572616,6.75
118,Los Angeles,Edge Centres EC101 Los Angeles,Edge Centres,707 Wilshire Blvd.,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
119,Los Angeles,Alchemy LAX Data Center,"Dynascale, Inc.",6171 West Century Blvd,90045,Los Angeles,1097000,0.325,68,1,9,9,4,2.4456313870174506,2.117512256329162,-0.339416733,5.75
120,Los Angeles,Crown Castle Los Angeles LA3,CROWN CASTLE,530 W 6th St,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
121,Los Angeles,DataBank - 707 Wilshire Blvd,DataBank,707 Wilshire Blvd,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
122,Los Angeles,Aptum Los Angeles,Aptum,360 E 2nd Street,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
123,Los Angeles,One Data Center America,One Data Center America,3833 Ebony St,91761,Ontario,1041000,0.32,83.7,2,9,8,8,2.365109153161677,1.9103842098001635,0.7927568808978228,6.75
124,Los Angeles,365 Data Centers - Los Angeles 2,365 Data Centers,624 South Grand Ave,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
125,Los Angeles,Windstream Los Angeles,Windstream,530 West 6th St,90014,Los Angeles,1009000,0.321,78.8,3,9,8,7,2.3812135999328317,1.7920253260693075,0.4394033326558599,6.75
126,Los Angeles,365 Data Centers - Los Angeles 3,365 Data Centers,900 N. Alameda St,90012,Los Angeles,976000,0.313,76.2,3,9,8,6,2.2523780257635937,1.669967727221862,0.2519096131805333,6.5
127,Los Angeles,Spectrum Networks El Segundo,Spectrum,2345 Alaska Ave,90245,El Segundo,907000,0.331,76.2,4,9,8,6,2.5422580676443793,1.4147563841772037,0.2519096131805333,6.75
128,Los Angeles,818 West 7th Street,"Downtown Properties Holdings, LLC",818 West 7th Street,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
129,Los Angeles,DigiCo Los Angeles LAX2,DigiCo Infrastructure REIT,1980 Saturn St,91755,Monterey Park,1177000,0.325,86.1,2,9,9,8,2.4456313870174506,2.413409465656302,0.9658280065673548,7
130,Los Angeles,Lumen Los Angeles,Lumen,818 W. 7th Street,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
131,Los Angeles,Quinby Building,Quinby Building,650 South Grand Avenue,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
132,Los Angeles,Telecom Center LA,BGC Group,530 West 6th Street,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
133,Los Angeles,Long Beach Data Center,Long Beach Data Center,3910 E 7th St,90804,Long Beach,1028000,0.331,92.3,1,9,8,8,2.5422580676443793,1.8623009132845034,1.412928414546981,6.5
134,Los Angeles,NocRoom Los Angeles Colocation,NocRoom Miami Colocation VPS,530 W 6th Street Penthouse,90014,Los Angeles,1009000,0.321,78.8,3,9,8,7,2.3812135999328317,1.7920253260693075,0.4394033326558599,6.75
135,Los Angeles,Hostrunway Los Angeles,Hostrunway,900 N Alameda St #200,90012,Los Angeles,976000,0.313,76.2,3,9,8,6,2.2523780257635937,1.669967727221862,0.2519096131805333,6.5
136,Los Angeles,611 Wilshire,Xyvest Holdings,611 Wilshire Blvd,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
137,Los Angeles,IHNetworks Datacenter (SFV1),"IHNetworks, LLC",20339 Nordhoff Street,91311,Chatsworth,1040000,0.316,85.2,1,9,8,8,2.300691366077058,1.9066854946835743,0.9009263344412807,6.5
138,Los Angeles,China Telecom One Wilshire,China Telecom Americas,624 S Grand Ave,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
139,Los Angeles,WebNX Los Angeles,WebNX Internet Services,530 W 6th St,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
140,Los Angeles,Subrigo - 624 South Grand,Subrigo,624 South Grand Avenue,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
141,Los Angeles,Lumen Los Angeles 4,Lumen,600 Wilshire Blvd,90017,Los Angeles,1161000,0.337,99.5,41,9,9,9,2.6388847482713076,2.354230023790874,1.9321417915555792,17
142,Chicago,350 East Cermak Road (ORD10),Digital Realty,350 East Cermak Road,60616,Chicago,473000,0.155,72.8,15,5,7,5,-0.292124564,-0.190485976,0.006725518,8
143,Chicago,600 S. Federal St. (ORD11),Digital Realty,600 South Federal Street,60605,Chicago,409000,0.151,60.9,8,4,4,1,-0.356542351,-0.427203744,-0.851418813,4.25
